SYSCALL(args) 		 = return
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings\0", 0x7FFEE787C270, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 3 0
fstatfs64(0x3, 0x7FFEE787B4A8, 0x0)		 = 0 0
getdirentries64(0x3, 0x7FEF30020E00, 0x2000)		 = 8160 0
close_nocancel(0x3)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.py\0", 0x7FFEE787C270, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings\0", 0x1100004, 0x0)		 = 3 0
fstatfs64(0x3, 0x7FFEE787B4A8, 0x0)		 = 0 0
getdirentries64(0x3, 0x7FEF30020E00, 0x2000)		 = 8152 0
close_nocancel(0x3)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__\0", 0x7FFEE787C220, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__module.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.py\0", 0x0, 0x1B6)		 = 3 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings\0", 0x1100004, 0x0)		 = 4 0
fstatfs64(0x4, 0x7FFEE787B458, 0x0)		 = 0 0
getdirentries64(0x4, 0x7FEF2F814000, 0x2000)		 = 8152 0
close_nocancel(0x4)		 = 0 0
fstat64(0x3, 0x7FFEE787C5C0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.pyc\0", 0x0, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFEE787C3B8, 0x0)		 = 0 0
read_nocancel(0x4, "\003\363\r\n\3221\333^c\0", 0x1000)		 = 4096 0
fstat64(0x4, 0x7FFEE787C4D8, 0x0)		 = 0 0
read_nocancel(0x4, "amework/Versions/2.7/lib/python2.7/encodings/__init__.pyt\017\0", 0x1000)		 = 482 0
read_nocancel(0x4, "coding names should be ASCII only; if they do use\n        non-ASCII characters, these must be Latin-1 compatible.\n\n    t\a\0", 0x1000)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings\0", 0x7FFEE787B670, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings\0", 0x7FFEE787BA38, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/codecs\0", 0x7FFEE787BD20, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/codecs.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/codecsmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/codecs.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/codecs.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/codecs\0", 0x7FFEE787BD20, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/codecs.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/codecsmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/codecs.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 5 0
fstatfs64(0x5, 0x7FFEE787AF58, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF2F814C00, 0x2000)		 = 8160 0
getdirentries64(0x5, 0x7FEF2F814C00, 0x2000)		 = 8168 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787C0C0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/codecs.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787BEB8, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n\2511\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787BFD8, 0x0)		 = 0 0
read_nocancel(0x5, "eturns a tuple (output\n            object, length consumed).\n\n            errors defines the error handling to apply. It defaults to\n            'strict' handling.\n\n            The method may not store state in the Codec instance. Use\n            StreamWri", 0x923C)		 = 37428 0
read_nocancel(0x5, "med).\n\n            input must be an object which provides the bf_getreadbuf\n            buffer slot. Python strings, buffer objects and memory\n            mapped files are examples of objects providing this slot.\n\n            errors defines the error handl", 0x8)		 = 0 0
madvise(0x7FEF2F73D000, 0xC000, 0x9)		 = 0 0
close_nocancel(0x5)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/encodings\0", 0x7FFEE787BD20, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/encodings.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/encodingsmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/encodings.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/encodings.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/aliases\0", 0x7FFEE787BD10, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/aliases.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/aliasesmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/aliases.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings\0", 0x1100004, 0x0)		 = 5 0
fstatfs64(0x5, 0x7FFEE787AF48, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF3283FC00, 0x2000)		 = 8152 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787C0B0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/aliases.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787BEA8, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n\3221\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787BFC8, 0x0)		 = 0 0
read_nocancel(0x5, "ibm860t\006\0", 0x127C)		 = 4724 0
read_nocancel(0x5, "_1980t\t\0", 0x8)		 = 0 0
close_nocancel(0x5)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__builtin__\0", 0x7FFEE787BD20, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__builtin__.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__builtin__module.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__builtin__.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__builtin__.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
close_nocancel(0x3)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_8\0", 0x7FFEE787BF90, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_8.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_8module.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_8.py\0", 0x0, 0x1B6)		 = 3 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings\0", 0x1100004, 0x0)		 = 4 0
fstatfs64(0x4, 0x7FFEE787B1C8, 0x0)		 = 0 0
getdirentries64(0x4, 0x7FEF3283FC00, 0x2000)		 = 8152 0
close_nocancel(0x4)		 = 0 0
fstat64(0x3, 0x7FFEE787C330, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/utf_8.pyc\0", 0x0, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFEE787C128, 0x0)		 = 0 0
read_nocancel(0x4, "\003\363\r\n\3271\333^c\0", 0x1000)		 = 2366 0
fstat64(0x4, 0x7FFEE787C248, 0x0)		 = 0 0
read_nocancel(0x4, "\0", 0x1000)		 = 0 0
close_nocancel(0x4)		 = 0 0
close_nocancel(0x3)		 = 0 0
ioctl(0x0, 0x4004667A, 0x7FFEE787C6A4)		 = 0 0
ioctl(0x1, 0x4004667A, 0x7FFEE787C6A4)		 = -1 Err#25
ioctl(0x1, 0x40487413, 0x7FFEE787C6A8)		 = -1 Err#25
ioctl(0x2, 0x4004667A, 0x7FFEE787C6A4)		 = -1 Err#25
ioctl(0x2, 0x40487413, 0x7FFEE787C6A8)		 = -1 Err#25
readlink("PP02.py\0", 0x7FFEE787C0E0, 0x400)		 = -1 Err#22
stat64("/\0", 0x7FFEE7879B10, 0x0)		 = 0 0
open_nocancel(".\0", 0x0, 0x1)		 = 3 0
fstat64(0x3, 0x7FFEE7879910, 0x0)		 = 0 0
fcntl_nocancel(0x3, 0x32, 0x7FFEE787C4F0)		 = 0 0
close_nocancel(0x3)		 = 0 0
stat64("/Users/porter/BYU-Idaho/Fall 2020/OS\0", 0x7FFEE7879880, 0x0)		 = 0 0
stat64("/Users/porter/BYU-Idaho/Fall 2020/OS\0", 0x7FFEE7879B10, 0x0)		 = 0 0
getattrlist("/Users/porter/BYU-Idaho/Fall 2020/OS/PP02.py\0", 0x7FFF70E44734, 0x7FFEE787B460)		 = 0 0
stat64("PP02.py\0", 0x7FFEE787C2E0, 0x0)		 = 0 0
open_nocancel("PP02.py\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFEE787B828, 0x0)		 = 0 0
fstat64(0x3, 0x7FFEE787B930, 0x0)		 = 0 0
lseek(0x3, 0x0, 0x1)		 = 0 0
lseek(0x3, 0x0, 0x0)		 = 0 0
read_nocancel(0x3, "#!/usr/local/opt/python/bin/python3.7\nprint(\"Hello World\")\b\0", 0x1000)		 = 58 0
lseek(0x3, 0xFFFFFFFFFFFFFFEA, 0x1)		 = 36 0
read_nocancel(0x3, "7\nprint(\"Hello World\")\b\0", 0x1000)		 = 22 0
close_nocancel(0x3)		 = 0 0
stat64("PP02.py\0", 0x7FFEE787C6A8, 0x0)		 = 0 0
open_nocancel("PP02.py\0", 0x0, 0x1B6)		 = 3 0
fstat64(0x3, 0x7FFEE787C930, 0x0)		 = 0 0
ioctl(0x3, 0x4004667A, 0x7FFEE787C874)		 = -1 Err#25
ioctl(0x3, 0x40487413, 0x7FFEE787C878)		 = -1 Err#25
lseek(0x3, 0x0, 0x1)		 = 0 0
fstat64(0x3, 0x7FFEE787C6E8, 0x0)		 = 0 0
read_nocancel(0x3, "#!/usr/local/opt/python/bin/python3.7\nprint(\"Hello World\")\b\0", 0x1000)		 = 58 0
lseek(0x3, 0xFFFFFFFFFFFFFFC8, 0x1)		 = 2 0
lseek(0x3, 0x0, 0x0)		 = 0 0
read_nocancel(0x3, "#!/usr/local/opt/python/bin/python3.7\nprint(\"Hello World\")\b\0", 0x1000)		 = 58 0
read_nocancel(0x3, "@\004\b\0", 0x1000)		 = 0 0
madvise(0x7FEF2F73D000, 0xC000, 0x9)		 = 0 0
close_nocancel(0x3)		 = 0 0
fstat64(0x1, 0x7FFEE787C398, 0x0)		 = 0 0
sigaction(0x2, 0x7FFEE787C878, 0x7FFEE787C8B0)		 = 0 0
madvise(0x7FEF2F700000, 0xC000, 0x9)		 = 0 0
write_nocancel(0x1, "Hello World\n\0", 0xC)		 = 12 0

